                    REPORTE CLASE: ENG
ID       NOMBRE      APELLIDO    N1     N2     N3     AVG
-------  ----------  ----------  -----  -----  -----  -----
8712352  TOM         POWER       1950  1212  1687  1616
8712354  SEAN        WALSH       1220  1695  1085  1333
8712359  MAGGIE      CAHILL      1744  1535  1326  1535
8812355  FRANK       DUBRANT     1801  1138  1613  1517
8912353  WILLIAM     GORMAN      1813  1144  1619  1525
9012358  JAKE        NORMAN      1568  1021  1496  1361
8712351  MARY        SMITH       1287  1078  1795  1386
9012357  YU-AN       PAN         1759  1550  1341  1550
8912351  ANNIE       DEWEY       1720  1511  1302  1511
8912356  DANIELLE    CORKERY     1093  1810  1601  1501
