                    REPORTE CLASE: IST
ID       NOMBRE      APELLIDO    N1     N2     N3     AVG
-------  ----------  ----------  -----  -----  -----  -----
8912358  LAWRENCE    FORD        1834  1154  1629  1539
9012353  VINCENT     JONES       1015  1490  1965  1490
8812356  TIMOTHY     MACKEY      1044  1519  1994  1519
8812357  WENDY       BOBBIN      1785  1576  1367  1576
8812358  FRANCIS     DALEY       1158  1875  1666  1566
8912354  MANNIE      FAHY        1047  1522  1997  1522
8912355  GEOFF       RYAN        1236  1711  1093  1346
9012359  NEHA        SHARMA      1132  1849  1640  1540
8812359  GEORGE      SWINDON     1057  1532  1003  1197
